Genus	species	taxid	family	long_list	other_priority	family_representative
Platanthera	chlorantha		Orchidaceae	DTOL		
Pseudorchis	albida		Orchidaceae	DTOL		
Serapias	parviflora		Orchidaceae	DTOL		
Spiranthes	aestivalis		Orchidaceae	DTOL		
Spiranthes	romanzoffiana		Orchidaceae	DTOL		
Spiranthes	spiralis		Orchidaceae	DTOL		
Gladiolus	illyricus		Iridaceae	DTOL		
Iris	foetidissima		Iridaceae	DTOL		
Iris	pseudacorus		Iridaceae	DTOL	DTOL	DTOL
Romulea	columnae		Iridaceae	DTOL	DTOL	
Allium	ampeloprasum		Amaryllidaceae	DTOL		
Allium	oleraceum		Amaryllidaceae	DTOL		
Allium	paradoxum		Amaryllidaceae	DTOL		
Allium	schoenoprasum		Amaryllidaceae	DTOL	DTOL	DTOL
Allium	scorodoprasum		Amaryllidaceae	DTOL		
Allium	sphaerocephalon		Amaryllidaceae	DTOL		
Allium	triquetrum		Amaryllidaceae	DTOL		
Allium	ursinum		Amaryllidaceae	DTOL		
Allium	vineale		Amaryllidaceae	DTOL		
Narcissus	pseudonarcissus		Amaryllidaceae	DTOL	DTOL	
Asparagus	prostratus		Asparagaceae	DTOL		
Convallaria	majalis		Asparagaceae	DTOL		
Hyacinthoides	hispanica		Asparagaceae	DTOL		
Hyacinthoides	non-scripta		Asparagaceae	DTOL	DTOL	
Maianthemum	bifolium		Asparagaceae	DTOL		
Ornithogalum	pyrenaicum		Asparagaceae	DTOL		
Polygonatum	multiflorum		Asparagaceae	DTOL		
Polygonatum	odoratum		Asparagaceae	DTOL		
Polygonatum	verticillatum		Asparagaceae	DTOL		
Ruscus	aculeatus		Asparagaceae	DTOL		
Scilla	autumnalis	28483	Asparagaceae	DTOL		
Scilla	verna		Asparagaceae	DTOL	DTOL	DTOL
Pontederia	cordata		Pontederiaceae	DTOL	DTOL	DTOL
Sparganium	angustifolium		Typhaceae	DTOL		
Sparganium	emersum		Typhaceae	DTOL		
Sparganium	erectum		Typhaceae	DTOL	DTOL	DTOL
Sparganium	natans		Typhaceae	DTOL		
Typha	angustifolia		Typhaceae	DTOL		
Typha	latifolia		Typhaceae	DTOL	DTOL	DTOL
Eriocaulon	aquaticum		Eriocaulaceae	DTOL	DTOL	DTOL
Juncus	acutiflorus		Juncaceae	DTOL		
Juncus	acutus		Juncaceae	DTOL		
Juncus	alpinoarticulatus		Juncaceae	DTOL		
Juncus	articulatus		Juncaceae	DTOL		
Juncus	balticus		Juncaceae	DTOL		
Juncus	biglumis		Juncaceae	DTOL		
Juncus	bufonius		Juncaceae	DTOL		
Juncus	bulbosus		Juncaceae	DTOL		
Juncus	capitatus		Juncaceae	DTOL		
Juncus	castaneus		Juncaceae	DTOL		
Juncus	compressus		Juncaceae	DTOL		
Juncus	conglomeratus		Juncaceae	DTOL		
Juncus	effusus		Juncaceae	DTOL	DTOL	DTOL
Juncus	filiformis		Juncaceae	DTOL		
Juncus	foliosus		Juncaceae	DTOL		
Juncus	gerardii		Juncaceae	DTOL		
Juncus	inflexus		Juncaceae	DTOL		
Juncus	maritimus		Juncaceae	DTOL		
Juncus	pygmaeus		Juncaceae	DTOL		
Juncus	ranarius		Juncaceae	DTOL		
Juncus	squarrosus		Juncaceae	DTOL		
Juncus	subnodulosus		Juncaceae	DTOL		
Juncus	trifidus	223681	Juncaceae	DTOL		
Juncus	triglumis		Juncaceae	DTOL		
Luzula	arcuata		Juncaceae	DTOL		
Luzula	campestris		Juncaceae	DTOL		
Luzula	forsteri		Juncaceae	DTOL		
Luzula	multiflora		Juncaceae	DTOL		
Luzula	pallescens		Juncaceae	DTOL		
Luzula	pallidula		Juncaceae	DTOL		
Luzula	pilosa		Juncaceae	DTOL		
Luzula	spicata		Juncaceae	DTOL		
Luzula	sylvatica		Juncaceae	DTOL	DTOL	DTOL
Blysmus	compressus		Cyperaceae	DTOL		
Blysmus	rufus	1122272	Cyperaceae	DTOL		
Bolboschoenus	laticarpus		Cyperaceae	DTOL		
Bolboschoenus	maritimus		Cyperaceae	DTOL		
Carex	acuta		Cyperaceae	DTOL		
Carex	acutiformis		Cyperaceae	DTOL		
Carex	appropinquata		Cyperaceae	DTOL		
Carex	aquatilis		Cyperaceae	DTOL		
Carex	arenaria		Cyperaceae	DTOL		
Carex	atrata		Cyperaceae	DTOL		
Carex	atrofusca		Cyperaceae	DTOL		
Carex	bigelowii		Cyperaceae	DTOL		
Carex	binervis		Cyperaceae	DTOL		
Carex	buxbaumii		Cyperaceae	DTOL		
Carex	canescens		Cyperaceae	DTOL		
Carex	capillaris		Cyperaceae	DTOL		
Carex	caryophyllea		Cyperaceae	DTOL	DTOL	
Carex	cespitosa		Cyperaceae	DTOL		
Carex	chordorrhiza		Cyperaceae	DTOL		
Carex	davalliana		Cyperaceae	DTOL		
Carex	demissa		Cyperaceae	DTOL		
Carex	depauperata		Cyperaceae	DTOL	DTOL	
Carex	diandra		Cyperaceae	DTOL		
Carex	digitata		Cyperaceae	DTOL		
Carex	dioica		Cyperaceae	DTOL		
Carex	distans		Cyperaceae	DTOL		
Carex	disticha		Cyperaceae	DTOL		
Carex	divisa		Cyperaceae	DTOL		
Carex	divulsa		Cyperaceae	DTOL		
Carex	echinata		Cyperaceae	DTOL		
Carex	elata		Cyperaceae	DTOL		
Carex	elongata		Cyperaceae	DTOL		
Carex	ericetorum		Cyperaceae	DTOL		
Carex	extensa		Cyperaceae	DTOL		
Carex	filiformis		Cyperaceae	DTOL		
Carex	flacca		Cyperaceae	DTOL	DTOL	
Carex	flava		Cyperaceae	DTOL		
Carex	hirta		Cyperaceae	DTOL		
Carex	hostiana		Cyperaceae	DTOL	DTOL	
Carex	humilis		Cyperaceae	DTOL		
Carex	lachenalii		Cyperaceae	DTOL		
Carex	laevigata		Cyperaceae	DTOL		
Carex	lasiocarpa		Cyperaceae	DTOL		
Carex	lepidocarpa		Cyperaceae	DTOL		
Carex	leporina		Cyperaceae	DTOL		
Carex	limosa		Cyperaceae	DTOL		
Carex	magellanica		Cyperaceae	DTOL		
Carex	maritima		Cyperaceae	DTOL		
Carex	microglochin		Cyperaceae	DTOL		
Carex	montana		Cyperaceae	DTOL		
Carex	muricata		Cyperaceae	DTOL		
Carex	nigra		Cyperaceae	DTOL		
Carex	norvegica		Cyperaceae	DTOL		
Carex	ornithopoda		Cyperaceae	DTOL		
Carex	otrubae		Cyperaceae	DTOL		
Carex	pallescens		Cyperaceae	DTOL		
Carex	panicea		Cyperaceae	DTOL	DTOL	DTOL
Carex	paniculata		Cyperaceae	DTOL		
Carex	pauciflora		Cyperaceae	DTOL		
Carex	pendula		Cyperaceae	DTOL		
Carex	pilulifera		Cyperaceae	DTOL		
Carex	pseudocyperus		Cyperaceae	DTOL		
Carex	pulicaris		Cyperaceae	DTOL	DTOL	
Carex	punctata		Cyperaceae	DTOL		
Carex	rariflora		Cyperaceae	DTOL		
Carex	recta		Cyperaceae	DTOL		
Carex	remota		Cyperaceae	DTOL		
Carex	riparia		Cyperaceae	DTOL		
Carex	rostrata		Cyperaceae	DTOL		
Carex	rupestris		Cyperaceae	DTOL		
Carex	salina		Cyperaceae	DTOL		
Carex	saxatilis		Cyperaceae	DTOL		
Carex	simpliciusulca	46331	Cyperaceae	DTOL		
Carex	spicata		Cyperaceae	DTOL		
Carex	strigosa		Cyperaceae	DTOL		
Carex	sylvatica		Cyperaceae	DTOL		
Carex	trinervis		Cyperaceae	DTOL		
Carex	vaginata		Cyperaceae	DTOL		
Carex	vesicaria		Cyperaceae	DTOL		
Carex	viridula		Cyperaceae	DTOL		
Carex	vulpina		Cyperaceae	DTOL		
Cladium	mariscus		Cyperaceae	DTOL		
Cyperus	fuscus		Cyperaceae	DTOL		
Cyperus	longus		Cyperaceae	DTOL		
Eleocharis	acicularis		Cyperaceae	DTOL		
Eleocharis	mamillata		Cyperaceae	DTOL		
Eleocharis	multicaulis		Cyperaceae	DTOL		
Eleocharis	palustris		Cyperaceae	DTOL		
Eleocharis	parvula		Cyperaceae	DTOL		
Eleocharis	quinqueflora		Cyperaceae	DTOL	DTOL	DTOL
Eleocharis	uniglumis		Cyperaceae	DTOL		
Eleogiton	fluitans	76457	Cyperaceae	DTOL		
Eriophorum	angustifolium		Cyperaceae	DTOL		
Eriophorum	gracile		Cyperaceae	DTOL		
Eriophorum	latifolium		Cyperaceae	DTOL		
Eriophorum	vaginatum		Cyperaceae	DTOL		
Isolepis	cernua		Cyperaceae	DTOL		
Isolepis	setacea		Cyperaceae	DTOL		
Rhynchospora	alba		Cyperaceae	DTOL		
Rhynchospora	fusca		Cyperaceae	DTOL		
Schoenoplectus	lacustris		Cyperaceae	DTOL	DTOL	
Schoenoplectus	tabernaemontani		Cyperaceae	DTOL		
Schoenoplectus	triqueter		Cyperaceae	DTOL		
Schoenus	ferrugineus		Cyperaceae	DTOL		
Schoenus	nigricans		Cyperaceae	DTOL		
Scirpoides	holoschoenus		Cyperaceae	DTOL		
Scirpus	sylvaticus		Cyperaceae	DTOL		
Trichophorum	alpinum		Cyperaceae	DTOL		
Trichophorum	cespitosum		Cyperaceae	DTOL		
Trichophorum	germanicum		Cyperaceae	DTOL		
Agrostis	canina		Poaceae	DTOL		
Agrostis	capillaris		Poaceae	DTOL	DTOL	
Agrostis	curtisii		Poaceae	DTOL		
Agrostis	gigantea		Poaceae	DTOL		
Agrostis	stolonifera		Poaceae	DTOL		
Agrostis	vinealis		Poaceae	DTOL		
Aira	caryophyllea		Poaceae	DTOL		
Aira	praecox		Poaceae	DTOL		
Alopecurus	aequalis		Poaceae	DTOL		
Alopecurus	bulbosus		Poaceae	DTOL		
Alopecurus	geniculatus		Poaceae	DTOL		
Alopecurus	magellanicus		Poaceae	DTOL		
Alopecurus	myosuroides		Poaceae	DTOL		
Alopecurus	pratensis		Poaceae	DTOL		
Ammophila	arenaria		Poaceae	DTOL		
Anisantha	diandra	37722	Poaceae	DTOL		
Anisantha	sterilis	55777	Poaceae	DTOL		
Anthoxanthum	odoratum		Poaceae	DTOL	DTOL	
Apera	spica-venti		Poaceae	DTOL		
Aristavena	setacea	335201	Poaceae	DTOL		
Arrhenatherum	elatius		Poaceae	DTOL		
Avena	fatua		Poaceae	DTOL		
Avena	sativa		Poaceae	DTOL		
Avena	strigosa		Poaceae	DTOL		
Avenella	flexuosa		Poaceae	DTOL		
Avenula	pubescens		Poaceae	DTOL		
Brachypodium	pinnatum		Poaceae	DTOL		
Brachypodium	rupestre		Poaceae	DTOL		
Brachypodium	sylvaticum		Poaceae	DTOL	DTOL	DTOL
Briza	media		Poaceae	DTOL	DTOL	
Briza	minor		Poaceae	DTOL		
Bromopsis	benekenii	1155254	Poaceae	DTOL		
Bromopsis	erecta	29666	Poaceae	DTOL		
Bromopsis	ramosa	254149	Poaceae	DTOL		
Bromus	hordeaceus		Poaceae	DTOL		
Bromus	interruptus		Poaceae	DTOL		
Bromus	racemosus		Poaceae	DTOL		
Bromus	secalinus		Poaceae	DTOL		
Calamagrostis	canescens		Poaceae	DTOL		
Calamagrostis	epigejos	29668	Poaceae	DTOL		
Calamagrostis	purpurea		Poaceae	DTOL		
Calamagrostis	scotica		Poaceae	DTOL		
Calamagrostis	stricta	395286	Poaceae	DTOL		
Catabrosa	aquatica		Poaceae	DTOL		
Catapodium	marinum		Poaceae	DTOL		
Catapodium	rigidum		Poaceae	DTOL		
Cortaderia	selloana		Poaceae	DTOL		
Corynephorus	canescens		Poaceae	DTOL		
Cynodon	dactylon		Poaceae	DTOL		
Cynosurus	cristatus		Poaceae	DTOL		
Dactylis	glomerata		Poaceae	DTOL	DTOL	
Danthonia	decumbens		Poaceae	DTOL	DTOL	
Deschampsia	cespitosa		Poaceae	DTOL		
Drymochloa	sylvatica		Poaceae	DTOL		
Elymus	athericus		Poaceae	DTOL		
Elymus	caninus		Poaceae	DTOL		
Elymus	junceiformis	552841	Poaceae	DTOL		
Elymus	repens		Poaceae	DTOL		
Festuca	arenaria		Poaceae	DTOL		
Festuca	armoricana		Poaceae	DTOL		
Festuca	filiformis		Poaceae	DTOL		
Festuca	huonii		Poaceae	DTOL		
Festuca	lemanii		Poaceae	DTOL		
Festuca	longifolia		Poaceae	DTOL		
Festuca	ovina		Poaceae	DTOL	DTOL	
Festuca	rubra		Poaceae	DTOL		
Festuca	vivipara		Poaceae	DTOL		
Gastridium	ventricosum		Poaceae	DTOL		
Gaudinia	fragilis		Poaceae	DTOL		
Glyceria	declinata		Poaceae	DTOL		
Glyceria	fluitans		Poaceae	DTOL		
Glyceria	maxima		Poaceae	DTOL		
Glyceria	notata		Poaceae	DTOL		
Helictochloa	pratensis		Poaceae	DTOL	DTOL	
Hierochloe	odorata		Poaceae	DTOL		
Holcus	lanatus		Poaceae	DTOL	DTOL	DTOL
Holcus	mollis		Poaceae	DTOL	DTOL	
Hordelymus	europaeus		Poaceae	DTOL		
Hordeum	marinum		Poaceae	DTOL		
Hordeum	murinum		Poaceae	DTOL		
Hordeum	secalinum		Poaceae	DTOL		
Koeleria	macrantha		Poaceae	DTOL	DTOL	
Koeleria	vallesiana		Poaceae	DTOL		
Leersia	oryzoides		Poaceae	DTOL		
Leymus	arenarius		Poaceae	DTOL		
Lolium	perenne		Poaceae	DTOL		
Lolium	temulentum		Poaceae	DTOL		
Melica	nutans		Poaceae	DTOL		
Melica	uniflora		Poaceae	DTOL		
Mibora	minima		Poaceae	DTOL		
Milium	effusum		Poaceae	DTOL		
Milium	vernale		Poaceae	DTOL		
Molinia	caerulea		Poaceae	DTOL		
Nardus	stricta		Poaceae	DTOL		
Parapholis	incurva		Poaceae	DTOL		
Parapholis	strigosa		Poaceae	DTOL		
Phalaris	arundinacea		Poaceae	DTOL		
Phleum	alpinum		Poaceae	DTOL		
Phleum	arenarium		Poaceae	DTOL		
Phleum	bertolonii		Poaceae	DTOL		
Phleum	phleoides		Poaceae	DTOL		
Phleum	pratense		Poaceae	DTOL		
Phragmites	australis		Poaceae	DTOL		
Poa	alpina		Poaceae	DTOL		
Poa	angustifolia		Poaceae	DTOL		
Poa	annua		Poaceae	DTOL		
Poa	bulbosa		Poaceae	DTOL		
Poa	compressa		Poaceae	DTOL		
Poa	flexuosa		Poaceae	DTOL		
Poa	glauca		Poaceae	DTOL		
Poa	humilis		Poaceae	DTOL		
Poa	infirma		Poaceae	DTOL		
Poa	nemoralis		Poaceae	DTOL		
Poa	pratensis		Poaceae	DTOL		
Poa	trivialis		Poaceae	DTOL		
Polypogon	monspeliensis		Poaceae	DTOL		
Pseudosasa	japonica		Poaceae	DTOL		
Puccinellia	distans		Poaceae	DTOL		
Puccinellia	fasciculata		Poaceae	DTOL		
Puccinellia	maritima		Poaceae	DTOL		
Puccinellia	rupestris		Poaceae	DTOL		
Sasa	palmata		Poaceae	DTOL		
Sasaella	ramosa	591240	Poaceae	DTOL		
Schedonorus	arundinaceus	4606	Poaceae	DTOL		
Schedonorus	giganteus	29677	Poaceae	DTOL		
Schedonorus	pratensis	4608	Poaceae	DTOL		
Sesleria	caerulea		Poaceae	DTOL		
Spartina	anglica	49785	Poaceae	DTOL		
Spartina	maritima	49786	Poaceae	DTOL		
Trisetum	flavescens		Poaceae	DTOL		
Vulpia	bromoides	200278	Poaceae	DTOL		
Vulpia	ciliata	200279	Poaceae	DTOL		
Vulpia	fasciculata	145853	Poaceae	DTOL		
Vulpia	myuros	1544651	Poaceae	DTOL		
Vulpia	unilateralis	200282	Poaceae	DTOL		
