Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Pipra filicauda	Wire-tailed manakin	isolate: LSUMZ 115617, sex: male	649802	ASM394559v2	GCA_003945595.2	GenBank		Scaffold	1677444	1081944082	2020-12-01		PRJNA445296	SAMN08774045
Tolypocladium inflatum		strain: NBRC 31975	29910	ASM394563v1	GCA_003945635.1	GenBank		Contig	5029157	30313660	2018-12-14		PRJNA448735	SAMN08824658
Tolypocladium inflatum		strain: NBRC 31671	29910	ASM394565v1	GCA_003945655.1	GenBank		Contig	4987791	29983627	2018-12-14		PRJNA448735	SAMN08824657
Tolypocladium inflatum		strain: NRRL 8044	29910	ASM394566v1	GCA_003945665.1	GenBank		Contig	4456490	31168718	2018-12-14		PRJNA448735	SAMN08824656
Tolypocladium inflatum		strain: CBS 824.70	29910	ASM394570v1	GCA_003945705.1	GenBank		Contig	5251462	31505143	2018-12-14		PRJNA448735	SAMN08824655
Corapipo altera	White-ruffed manakin	isolate: COAL_440, sex: female	415028	ASM394572v1	GCA_003945725.1	GenBank		Scaffold	262501	1095745976	2018-12-14		PRJNA505529	SAMN10424454
Oryx gazella	gemsbok	isolate: OR4864, sex: female	9958	UCDavis_Ogaz_1	GCA_003945745.1	GenBank		Scaffold	19498	2762920344	2018-12-14		PRJNA479821	SAMN09604855
Prunus avium	sweet cherry	cultivar: Hongmanao	42229	HMN_1.0	GCA_003946875.1	GenBank		Contig	409488	287191934	2018-12-14		PRJNA489346	SAMN09976372
Fusarium sp. AF-8		strain: NRRL62584	1325734	NRRL62584.SPAdes	GCA_003946985.1	GenBank	From INSDC submitter	Scaffold	168109	47510963	2018-12-14	16432	PRJNA389173	SAMN07244161
Fusarium sp. AF-4		strain: NRRL62579	1325735	NRRL62579.SPAdes	GCA_003946995.1	GenBank	From INSDC submitter	Scaffold	158082	48655532	2018-12-14	17904	PRJNA389173	SAMN07244159
Fusarium floridanum		strain: NRRL62606	1325733	NRRL62606.SPAdes	GCA_003947005.1	GenBank	From INSDC submitter	Scaffold	59628	47357966	2018-12-14	16934	PRJNA389173	SAMN07244158
Fusarium sp. AF-6		strain: NRRL62590	1325737	NRRL62590.SPAdes	GCA_003947015.1	GenBank	From INSDC submitter	Contig	69814	43054081	2018-12-14	15456	PRJNA389173	SAMN07244160
Fusarium ambrosium		strain: NRRL 20438	131363	NRRL20438v1	GCA_003947045.1	GenBank	From INSDC submitter	Scaffold	121643	49019568	2018-12-14	17420	PRJNA389173	SAMN07200640
Amazona collaria	yellow-billed parrot	isolate: JAMY3	241587	ASM394721v1	GCA_003947215.1	GenBank		Scaffold	208912	1258720284	2018-12-14		PRJNA490036	SAMN10023852
Jimgerdemannia lactiflua		strain: OSC162217	324621	OSU_Jimlac_1.0	GCA_003951145.1	GenBank		Contig	5625	179668311	2018-12-17		PRJNA494432	SAMN10169340
Anopheles funestus	African malaria mosquito	strain: FUMOZ	62324	AfunF3	GCA_003951495.1	GenBank		Chromosome	107489	444530063	2018-12-20		PRJNA494870	SAMN01087923
Morella rubra	Chinese arbutus	cultivar: Y2012-145, sex: female	262757	Mru_ZJU_2	GCA_003952965.2	GenBank	From INSDC submitter	Chromosome	192611	313008583	2019-10-03	29351	PRJNA398601	SAMN07510764
Scaptomyza flava		isolate: OHI-9	928822	Sfla_v1	GCA_003952975.1	GenBank		Scaffold	58829	214836881	2018-12-17		PRJNA494789	SAMN10180174
Aspergillus flavus		strain: 2017 Yazoo S8	5059	ASM395348v1	GCA_003953485.1	GenBank		Scaffold	367736	36706005	2018-12-18		PRJNA492745	SAMN10103228
Aspergillus flavus		strain: 2017 Yazoo S4	5059	ASM395349v1	GCA_003953495.1	GenBank		Scaffold	376217	36667167	2018-12-18		PRJNA492745	SAMN10103224
Aspergillus flavus		strain: 2017 Yazoo S3	5059	ASM395350v1	GCA_003953505.1	GenBank		Scaffold	382712	37074170	2018-12-18		PRJNA492745	SAMN10103223
Aspergillus flavus		strain: 2017 Yazoo S6	5059	ASM395351v1	GCA_003953515.1	GenBank		Scaffold	211818	38756494	2018-12-18		PRJNA492745	SAMN10103226
Aspergillus flavus		strain: 2017 Yazoo S7	5059	ASM395352v1	GCA_003953525.1	GenBank		Scaffold	325844	36616136	2018-12-18		PRJNA492745	SAMN10103227
Aspergillus flavus		strain: 2017 Yazoo S1	5059	ASM395358v1	GCA_003953585.1	GenBank		Scaffold	347460	36948561	2018-12-18		PRJNA492745	SAMN10103221
Aspergillus flavus		strain: 2017 Washington T8	5059	ASM395359v1	GCA_003953595.1	GenBank		Scaffold	421633	36813239	2018-12-18		PRJNA492745	SAMN10103220
Aspergillus flavus		strain: 2017 Washington T7	5059	ASM395360v1	GCA_003953605.1	GenBank		Scaffold	218449	36567479	2018-12-18		PRJNA492745	SAMN10103219
Aspergillus flavus		strain: 2017 Washington T4	5059	ASM395361v1	GCA_003953615.1	GenBank		Scaffold	361447	36848006	2018-12-18		PRJNA492745	SAMN10103216
Aspergillus flavus		strain: 2017 Washington T6	5059	ASM395362v1	GCA_003953625.1	GenBank		Scaffold	404178	36783603	2018-12-18		PRJNA492745	SAMN10103218
Aspergillus flavus		strain: 2017 Washington T3	5059	ASM395368v1	GCA_003953685.1	GenBank		Scaffold	305006	36875423	2018-12-18		PRJNA492745	SAMN10103215
Aspergillus flavus		strain: 2017 Coahoma J8	5059	ASM395369v1	GCA_003953695.1	GenBank		Scaffold	420517	36847091	2018-12-18		PRJNA492745	SAMN10103212
Aspergillus flavus		strain: 2017 Washington T1	5059	ASM395370v1	GCA_003953705.1	GenBank		Scaffold	164615	36926660	2018-12-18		PRJNA492745	SAMN10103213
Aspergillus flavus		strain: 2017 Washington T2	5059	ASM395371v1	GCA_003953715.1	GenBank		Scaffold	368934	37001068	2018-12-18		PRJNA492745	SAMN10103214
Aspergillus flavus		strain: 2017 Coahoma J7	5059	ASM395373v1	GCA_003953735.1	GenBank		Scaffold	63728	36487869	2018-12-18		PRJNA492745	SAMN10103211
Aspergillus flavus		strain: 2017 Coahoma J6	5059	ASM395378v1	GCA_003953785.1	GenBank		Scaffold	417338	36652511	2018-12-18		PRJNA492745	SAMN10103210
Aspergillus flavus		strain: 2017 Coahoma J3	5059	ASM395379v1	GCA_003953795.1	GenBank		Scaffold	244125	36574800	2018-12-18		PRJNA492745	SAMN10103207
Aspergillus flavus		strain: 2017 Yazoo S2	5059	ASM395380v1	GCA_003953805.1	GenBank		Scaffold	405126	36693724	2018-12-18		PRJNA492745	SAMN10103222
Aspergillus flavus		strain: 2017 Washington T5	5059	ASM395382v1	GCA_003953825.1	GenBank		Scaffold	446524	36976307	2018-12-18		PRJNA492745	SAMN10103217
Aspergillus flavus		strain: 2017 Coahoma J1	5059	ASM395386v1	GCA_003953865.1	GenBank		Scaffold	308691	36795457	2018-12-18		PRJNA492745	SAMN10103205
Exophiala lecanii-corni		strain: CBS 102400	91925	ASM395583v1	GCA_003955835.1	GenBank		Complete Genome	2946109	34391799	2018-12-19		PRJNA489473	SAMN09980456
Brevipalpus yothersi		isolate: EMBRAPA2013	1754060	VIB_BreviYothersi_1.0	GCA_003956705.1	GenBank		Scaffold	56226	71154195	2018-12-19		PRJNA490612	SAMN10054291
Taeniopygia guttata	zebra finch	isolate: Black17, sex: male	59729	bTaeGut1_v1.h	GCA_003957525.1	GenBank		Scaffold	3004452	965644423	2018-12-20		PRJNA489099	SAMN02981239
Calypte anna	Anna's hummingbird	isolate: BGI_N300, sex: female	9244	bCalAnn1_v1.p	GCA_003957555.2	GenBank		Chromosome	14522327	1059687259	2019-05-17		PRJNA489139	SAMN02265252
Taeniopygia guttata	zebra finch	isolate: Black17, sex: male	59729	bTaeGut1.pri.v2	GCA_003957565.3	GenBank		Chromosome	11998827	1057995280	2019-05-17		PRJNA489098	SAMN02981239
Calypte anna	Anna's hummingbird	isolate: BGI_N300, sex: female	9244	bCalAnn1_v1.h	GCA_003957575.1	GenBank		Scaffold	1463522	952083371	2018-12-20		PRJNA489140	SAMN02265252
Fusarium euwallaceae		strain: UCR1854	1147111	FeuwUCR1854v2	GCA_003957675.1	GenBank	From INSDC submitter	Contig	87170	50472048	2018-12-20	17820	PRJNA341909	SAMN05730138
Octopus vulgaris	common octopus	isolate: Ov12053, sex: male	6645	ASM395772v1	GCA_003957725.1	GenBank		Scaffold	3040	1772957336	2018-12-21		PRJNA492973	SAMN10120072
Oidium heveae		strain: HO-73	299130	ASM395784v1	GCA_003957845.1	GenBank		Scaffold	34675	62280837	2018-12-21		PRJNA485875	SAMN09829828
Schistosoma bovis		strain: TAN1997	6184	ASM395894v1	GCA_003958945.1	GenBank	From INSDC submitter	Scaffold	35716	373458149	2019-02-15	11601	PRJNA451066	SAMN08957538
Aspergillus flavus		strain: IFM 54693	5059	Afla_1.0	GCA_003967615.1	GenBank		Scaffold	31801	35093840	2018-12-14		PRJDB5750	SAMD00081531
Aspergillus flavus		strain: IFM 55053	5059	Afla_1.0	GCA_003967635.1	GenBank		Scaffold	71347	36458956	2018-12-14		PRJDB5751	SAMD00081532
Aspergillus flavus		strain: IFM 57535	5059	Afla_1.0	GCA_003967655.1	GenBank		Scaffold	53563	36749142	2018-12-14		PRJDB5752	SAMD00081533
Aspergillus flavus		strain: IFM 58503	5059	Afla_1.0	GCA_003967675.1	GenBank		Scaffold	57523	36614304	2018-12-14		PRJDB5753	SAMD00081534
Aspergillus flavus		strain: IFM 59894	5059	Afla_1.0	GCA_003967695.1	GenBank		Scaffold	60533	37251131	2018-12-14		PRJDB5754	SAMD00081535
Aspergillus flavus		strain: IFM 59975	5059	Afla_1.0	GCA_003967715.1	GenBank		Scaffold	89148	36401537	2018-12-14		PRJDB5755	SAMD00081536
Aspergillus flavus		strain: IFM 60519	5059	Afla_1.0	GCA_003967735.1	GenBank		Scaffold	87225	36758317	2018-12-14		PRJDB5756	SAMD00081537
Aspergillus flavus		strain: IFM 60655	5059	Afla_1.0	GCA_003967755.1	GenBank		Scaffold	64793	37020810	2018-12-14		PRJDB5757	SAMD00081538
Aspergillus flavus		strain: IFM 61224	5059	Afla_1.0	GCA_003967775.1	GenBank		Scaffold	24416	36420176	2018-12-14		PRJDB5758	SAMD00081539
Aspergillus flavus		strain: IFM 61226	5059	Afla_1.0	GCA_003967795.1	GenBank		Scaffold	39284	36378247	2018-12-14		PRJDB5759	SAMD00081540
Haematococcus lacustris		strain: SAG 192.80	44745	ASM397095v1	GCA_003970955.1	GenBank		Contig	11925	365773732	2018-12-17		PRJNA487914	SAMN09912191
Talaromyces marneffei		strain: TM4	37727	ASM397150v1	GCA_003971505.1	GenBank		Complete Genome	3708933	28307147	2018-12-27		PRJNA322422	SAMN05162522
Moniliella sp. 'wahieum'		strain: ATCC MYA-4962	2020907	ASM397190v1	GCA_003971905.1	GenBank		Contig	620520	69496977	2018-12-21		PRJNA433019	SAMN08469619
Fusarium oxysporum f. sp. lycopersici		isolate: D11, strain: race 3	59765	FolCA3_D11_v1	GCA_003977725.1	GenBank		Chromosome	4408267	57229625	2019-01-07		PRJNA491600	SAMN10080742
Neopelma chrysocephalum	saffron-crested tyrant-manakin	sex: female	114329	ASM398488v2	GCA_003984885.2	GenBank		Scaffold	237029	1142796179	2018-12-28		PRJNA445439	SAMN08784363
Clarias batrachus	walking catfish	isolate: FL201406	59899	ASM398787v1	GCA_003987875.1	GenBank		Scaffold	24893	821750104	2018-12-31		PRJNA477835	SAMN09480820
Neonothopanus nambi		strain: BIN 2379	71958	ASM398789v1	GCA_003987895.1	GenBank		Contig	22255	103544009	2018-12-31		PRJNA476325	SAMN10215881
Mycena citricolor		strain: CBS 193.57	2018698	ASM398791v1	GCA_003987915.1	GenBank		Contig	16653	75081718	2018-12-31		PRJNA476325	SAMN10215880
Bombyx mandarina	wild silkworm	breed: wild silkmoth, isolate: Bman2017	7092	ASM398793v1	GCA_003987935.1	GenBank		Scaffold	322127	398573003	2018-12-31		PRJNA445374	SAMN08782053
Proliferodiscus dingleyae		isolate: ICMP 21730, strain: D683	2283848	ASM398879v1	GCA_003988795.1	GenBank		Scaffold	927843	34013099	2018-12-31		PRJNA487672	SAMN09907755
Ploettnerulaceae sp. D365		isolate: ICMP 21729, strain: D365	2316157	ASM398880v1	GCA_003988805.1	GenBank		Scaffold	203209	32146331	2018-12-31		PRJNA487672	SAMN09907753
Chlorencoelia torta		isolate: ICMP 21732, strain: D1686	163795	ASM398881v1	GCA_003988815.1	GenBank		Scaffold	265451	44380449	2018-12-31		PRJNA487672	SAMN09907751
Arachnopeziza araneosa		isolate: ICMP 21731, strain: D781	2259763	ASM398885v1	GCA_003988855.1	GenBank		Scaffold	208374	40453245	2018-12-31		PRJNA487672	SAMN09907757
Phialocephala sp. D728		isolate: ICMP 21725, strain: D728	2316158	ASM398886v1	GCA_003988865.1	GenBank		Scaffold	174265	50315576	2018-12-31		PRJNA487672	SAMN09907756
Lachnum nothofagi		strain: D664	2283846	ASM398887v1	GCA_003988875.1	GenBank		Scaffold	10009	74582935	2018-12-31		PRJNA487672	SAMN09907754
Hyphodiscus sp. D1413		isolate: ICMP 21723, strain: D1413	2305101	ASM398889v1	GCA_003988895.1	GenBank		Scaffold	522846	34520837	2018-12-31		PRJNA487672	SAMN09907750
Hymenotorrendiella dingleyae		isolate: ICMP 22793, strain: D1086	2259768	ASM398890v1	GCA_003988905.1	GenBank		Scaffold	62627	56478799	2018-12-31		PRJNA487672	SAMN09907749
Pirottaea palmicola		isolate: ICMP 13383, strain: D792	1603990	ASM398894v1	GCA_003988945.1	GenBank		Scaffold	43258	50288663	2018-12-31		PRJNA487672	SAMN09907758
Neobulgaria alba		isolate: ICMP 18395, strain: D2031	1461596	ASM398896v1	GCA_003988965.1	GenBank		Scaffold	202041	39586693	2018-12-31		PRJNA487672	SAMN09907752
Pyricularia oryzae Mo-nwi-31		strain: Mo-nwi-31	1440152	Moryzae-RP-2421.1.0	GCA_003990535.1	GenBank		Contig	39892	37300819	2019-01-02		PRJNA232299	SAMN07817530
Jimgerdemannia flammicorona		strain: GMNB39	994334	Jimfl_GMNB39_1	GCA_003990745.1	GenBank	From INSDC submitter	Contig	11439	239574967	2018-12-31	13315	PRJNA331664	SAMN05444478
Jimgerdemannia flammicorona		strain: AD002	994334	Jimfl_AD_1	GCA_003990765.1	GenBank	From INSDC submitter	Contig	10860	231316372	2019-01-02	13497	PRJNA331666	SAMN05444555
Endogone sp. FLAS-F59071		strain: FLAS-F59071	2340872	Endsp1	GCA_003990785.1	GenBank	From INSDC submitter	Contig	11261	95552741	2019-01-02	9366	PRJNA331665	SAMN05444560
Byssochlamys spectabilis		strain: MTDF-01	264951	ASM399080v1	GCA_003990805.1	GenBank		Chromosome	4532998	30810313	2019-01-04		PRJNA493022	SAMN10127184
Daphnia magna		sex: pooled male and female, strain: SK	35525	ASM399081v1	GCA_003990815.1	GenBank		Chromosome	14466	122937721	2019-01-07		PRJNA490418	SAMN10036042
Morbakka virulenta		isolate: Ondo Fishing port, sex: male	686327	MVIv1	GCA_003991215.1	GenBank		Scaffold	30845	951575644	2019-01-03		PRJNA494059	SAMN10219777
Pseudoperonospora humuli		isolate: OR502AA	162120	ASM399126v1	GCA_003991265.1	GenBank		Scaffold	18716	40496874	2019-01-03		PRJNA354153	SAMN06041740
Pyricularia oryzae	rice blast fungus	strain: 10100	318829	ASM399134v1	GCA_003991345.1	GenBank		Scaffold	21833	39554992	2019-01-03		PRJNA438312	SAMN08712647
Oryza meyeriana var. granulata		isolate: YNKM20150326	110450	ASM399144v1	GCA_003991445.1	GenBank		Contig	262045	776957456	2019-01-03		PRJNA412686	SAMN07723085
Elysia chlorotica	eastern emerald elysia	isolate: EC2010	188477	ElyChl2.0	GCA_003991915.1	GenBank	From INSDC submitter	Scaffold	30474	557480303	2019-01-04	23871	PRJNA484060	SAMN09762595
Aureobasidium sp. P6		strain: P6	1771980	ASM399236v1	GCA_003992365.1	GenBank		Scaffold	196540	24634378	2019-01-04		PRJNA509139	SAMN10523196
Leishmania mexicana		strain: 215-49	5665	ASM399243v1	GCA_003992435.1	GenBank		Contig	825953	32057209	2019-01-04		PRJNA484340	SAMN09984810
Leishmania aethiopica		strain: 209-622	5667	ASM399244v1	GCA_003992445.1	GenBank		Contig	763733	33648436	2019-01-04		PRJNA484340	SAMN09984807
Leishmania amazonensis		strain: 210-660	5659	ASM399250v1	GCA_003992505.1	GenBank		Contig	850106	33504997	2019-01-04		PRJNA484340	SAMN09984809
Plasmodiophora brassicae		isolate: AAFC-SK-Pb3	37360	ASM399268v1	GCA_003992685.1	GenBank		Scaffold	67833	24189580	2019-01-04		PRJNA353022	SAMN06010517
Himantopus himantopus leucocephalus		isolate: B60480	507594	UO_Hhiman_2.0	GCA_003993805.1	GenBank		Scaffold	36551	1116806074	2019-01-04		PRJNA503940	SAMN10386166
Bemisia tabaci	sweet potato whitefly	isolate: CAASIVF2012BtQ	7038	CAAS_Bemtab1.0	GCA_003994315.1	GenBank		Scaffold	44202	657500294	2018-12-11		PRJNA276952	SAMN03382551
Jaltomata sinuosa		strain: JA0702	205521	ASM399621v1	GCA_003996215.1	GenBank		Scaffold	372489	1443196791	2019-01-07		PRJNA474403	SAMN09302773
Eisenia fetida	common brandling worm	isolate: Indian	6396	Eisenia fetida CLC_PE_MP	GCA_003999395.1	GenBank		Scaffold	897	1471976452	2019-01-04		PRJNA398180	SAMN07503200
Oryzias javanicus	javanese ricefish	isolate: RS831, sex: female	123683	OJAV_1.1	GCA_003999625.1	GenBank	From INSDC submitter	Chromosome	3558013	809679899	2019-01-08	21454	PRJNA505405	SAMN10417210
Arthrobotrys flagrans		ecotype: Germany, strain: CBS H-5679	97331	DF_1.0	GCA_004000055.1	GenBank	From INSDC submitter	Contig	6168687	36645795	2019-01-08	9927	PRJNA494930	SAMN10185917
Tubulinosema ratisbonensis		strain: Franzen	291195	ASM400015v1	GCA_004000155.1	GenBank	From INSDC submitter	Scaffold	11852	7560420	2019-01-08	3082	PRJNA494796	SAMN10180275
Taphrina sp. SM11		strain: SM11	2305253	ASM400016v1	GCA_004000165.1	GenBank		Contig	277880	13638343	2019-01-08		PRJNA487587	SAMN09906266
Chilo suppressalis	striped riceborer	isolate: HZU2018	168631	ASM400044v1	GCA_004000445.1	GenBank	From INSDC submitter	Scaffold	642389	824354176	2019-01-08	15653	PRJNA506136	SAMN10502114
Mesostigma viride		strain: NIES 296	41882	MeVI296_assembly3	GCA_004000685.1	GenBank		Contig	3263	145898619	2018-12-15		PRJDB7683	SAMD00151924
Ictalurus punctatus	channel catfish	sex: male, strain: USDA103-YYmale1	7998	ASM400665v3	GCA_004006655.3	GenBank		Chromosome	1694657	1036985268	2019-01-25		PRJNA427343	SAMN08235469
Ictidomys tridecemlineatus	thirteen-lined ground squirrel	isolate: GS200, sex: female	43179	ASM400668v1	GCA_004006685.1	GenBank		Scaffold	44127	2478641729	2019-01-09		PRJNA420392	SAMN08111062
Oryza sativa	rice	cultivar: Carolina Gold Select	4530	JHU_CGRice_1.0	GCA_004007595.1	GenBank	From INSDC submitter	Chromosome	1630364	377604035	2019-01-11	61199	PRJNA503892	SAMN10380581
Teratosphaeria destructans		isolate: CMW44962	418781	ASM400983v1	GCA_004009835.1	GenBank		Scaffold	102289	31854486	2019-01-09		PRJNA503469	SAMN10359629
Davidsoniella eucalypti		strain: CMW3254	1580835	ASM400984v1	GCA_004009845.1	GenBank		Scaffold	225304	41365587	2019-01-09		PRJNA503468	SAMN10359628
Chiloscyllium plagiosum	whitespotted bambooshark	isolate: BGI_BamShark_2017, sex: female	36176	ASM401019v1	GCA_004010195.1	GenBank		Chromosome	37239	3776550609	2019-01-10		PRJNA478295	SAMN09508879
Aphis gossypii	cotton aphid	breed: cotton aphid, isolate: AGOS-L3, sex: female	80765	ASM401081v1	GCA_004010815.1	GenBank		Scaffold	77071	294262857	2019-01-10		PRJNA431119	SAMN08384359
Strigops habroptila	Kakapo	isolate: Jane, sex: female	2489341	bStrHab1_v1.h	GCA_004011185.1	GenBank		Scaffold	153928	285706558	2019-01-10		PRJNA489134	SAMN09948751
Trichosporon inkin		strain: C-2155	82517	ASM401127v1	GCA_004011275.1	GenBank		Contig	504	18195466	2019-01-10		PRJNA448932	SAMN04499098
Cyprinus carpio	common carp	breed: German Mirror carp, sex: female, strain: GM00	7962	German_Mirror_carp_1.0	GCA_004011555.1	GenBank		Scaffold	94545	1414711435	2019-01-10		PRJNA510861	SAMN10617437
Cyprinus carpio	common carp	breed: Yuxuan Yellow River carp, sex: female, strain: YR00	7962	Hunaghe_carp_2.0	GCA_004011575.1	GenBank		Scaffold	59678	1423633724	2019-01-10		PRJNA510861	SAMN10617435
Cyprinus carpio	common carp	breed: Wuyuan Hebao red carp, sex: female, strain: HB00	7962	Hebao_red_carp_1.0	GCA_004011595.1	GenBank		Scaffold	36306	1457977772	2019-01-10		PRJNA510861	SAMN10617436
Palaemon carinicauda		isolate: YSFRI1108, sex: pooled male and female	392227	ASM401167v1	GCA_004011675.1	GenBank		Scaffold	696	6699723695	2019-01-11		PRJNA471201	SAMN08969226
Ascochyta rabiei		isolate: Me14	5454	Arabiei_Me14	GCA_004011695.1	GenBank	From INSDC submitter	Contig	1812190	40843212	2019-01-11	11257	PRJNA510692	SAMN10613128
Ascochyta lentis		isolate: Al4	205686	Alentis_Al4	GCA_004011705.1	GenBank	From INSDC submitter	Contig	1825080	41901677	2019-01-11	11638	PRJNA510691	SAMN10613129
Exophiala mesophila		strain: CCFEE 6314	212818	ASM401177v1	GCA_004011775.1	GenBank	From INSDC submitter	Scaffold	431666	30412007	2019-01-11	10394	PRJNA342238	SAMN06285186
Floccularia luteovirens		strain: Y1	493452	ASM401205v1	GCA_004012055.1	GenBank		Contig	571132	28760771	2019-01-11		PRJNA505547	SAMN10425398
Eugenia uniflora	Brazil-cherry	ecotype: Pampa	119951	ASM401208v1	GCA_004012085.1	GenBank		Contig	1168	3152134	2019-01-11		PRJNA504673	SAMN10397313
Xylaria grammica		strain: IHI A82	363999	ASM401481v1	GCA_004014815.1	GenBank	From INSDC submitter	Scaffold	82024	47039127	2019-01-14	12126	PRJNA510724	SAMN10614014
Saccharomycopsis malanga		strain: KCN26	44092	ASM401493v1	GCA_004014935.1	GenBank		Complete Genome	3137114	16778506	2019-01-14		PRJNA421856	SAMN08158246
Byssochlamys spectabilis		strain: CBS 144490 HYG1	264951	ASM401538v1	GCA_004015385.1	GenBank		Scaffold	41273	32350292	2019-01-14		PRJNA497137	SAMN10250138
Claviceps aff. purpurea		isolate: 136	1967640	ASM401608v1	GCA_004016085.1	GenBank		Contig	41916	35875594	2019-01-14		PRJNA449361	SAMN08851611
Claviceps purpurea	ergot fungus	isolate: CCC771	5111	ASM401609v1	GCA_004016095.1	GenBank		Contig	27733	30199509	2019-01-14		PRJNA449361	SAMN08798357
Claviceps aff. purpurea		isolate: PRL1580	1967640	ASM401610v1	GCA_004016105.1	GenBank		Contig	21589	28571566	2019-01-14		PRJNA449361	SAMN08800200
Claviceps spartinae		isolate: 139	1294630	ASM401614v1	GCA_004016145.1	GenBank		Contig	28795	30692584	2019-01-14		PRJNA449361	SAMN08798353
Claviceps humidiphila		isolate: CCC434	1294629	ASM401615v1	GCA_004016155.1	GenBank		Contig	35139	30488243	2019-01-14		PRJNA449361	SAMN08798355
Claviceps purpurea	ergot fungus	isolate: Jmenzies_81	5111	ASM401616v1	GCA_004016165.1	GenBank		Contig	32494	30251759	2019-01-14		PRJNA449361	SAMN08797627
Claviceps spartinae		isolate: JM_7.2	1294630	ASM401617v1	GCA_004016175.1	GenBank		Contig	39984	30598250	2019-01-14		PRJNA449361	SAMN08798202
Quambalaria eucalypti		isolate: CMW1101	363177	ASM401618v1	GCA_004016185.1	GenBank		Contig	50473	26219376	2019-01-14		PRJNA507544	SAMN10497193
Botryosphaeria dothidea		strain: PG45	55169	ASM401626v1	GCA_004016265.1	GenBank		Scaffold	350729	44169592	2019-01-14		PRJNA394804	SAMN07360885
Botryosphaeria kuwatsukai		strain: PG2	2021124	ASM401630v1	GCA_004016305.1	GenBank		Scaffold	233656	47871327	2019-01-14		PRJNA394804	SAMN07360886
Claviceps arundinis		isolate: CCC933	1623583	ASM401646v1	GCA_004016465.1	GenBank		Contig	39989	30055381	2019-01-14		PRJNA449361	SAMN08798359
Claviceps cf. purpurea		isolate: PRL 1566	1967641	ASM401647v1	GCA_004016475.1	GenBank		Contig	46550	30691559	2019-01-14		PRJNA449361	SAMN08800226
Byssochlamys spectabilis		strain: CBS 101075	264951	Paevar1	GCA_004022145.1	GenBank	From INSDC submitter	Contig	1732371	30105809	2019-01-14	9415	PRJNA444022	SAMN08778357
Trichosporon inkin		strain: ATCC 18020	82517	ASM402351v1	GCA_004023515.1	GenBank		Contig	2526	20817555	2019-01-15		PRJNA312557	SAMN04526924
Lateolabrax maculatus	spotted sea bass	sex: male	315492	ASM402354v1	GCA_004023545.1	GenBank		Chromosome	42653	519239411	2019-01-15		PRJNA408177	SAMN07680090
Hydrophis cyanocinctus	Asian annulated sea snake	isolate: QH_1-3	8686	ASM402372v1	GCA_004023725.1	GenBank		Scaffold	3626	1389857256	2019-01-15		PRJNA506024	SAMN10441167
Recurvirostra avosetta	Pied Avocet	isolate: S068744-2018	171275	ASM402374v1	GCA_004023745.1	GenBank		Scaffold	10462	1193282475	2019-01-15		PRJNA508229	SAMN10518521
Hydrophis hardwickii	Hardwick's sea snake	isolate: PK_1-3	8781	ASM402376v1	GCA_004023765.1	GenBank		Scaffold	2852	1296394113	2019-01-15		PRJNA506024	SAMN10441168
Mungos mungo	banded mongoose	isolate: US063	210652	MunMun_v1_BIUU	GCA_004023785.1	GenBank		Scaffold	180702	2448211634	2019-01-15		PRJNA399406	SAMN07678097
Panthera onca	jaguar	isolate: BS21, sex: male	9690	PanOnc_v1_BIUU	GCA_004023805.1	GenBank		Scaffold	62836	2504534411	2019-01-15		PRJNA399411	SAMN07678103
Vulpes lagopus	Arctic fox	isolate: US066	494514	VulLag_v1_BIUU	GCA_004023825.1	GenBank		Scaffold	73976	2688561625	2019-01-15		PRJNA399424	SAMN07678118
Helogale parvula	dwarf mongoose	isolate: US077	210647	HelPar_v1_BIUU	GCA_004023845.1	GenBank		Scaffold	113567	2392471390	2019-01-15		PRJNA399396	SAMN07678086
Mirounga angustirostris	Northern elephant seal	isolate: BS05	9716	MirAng_v1_BIUU	GCA_004023865.1	GenBank		Scaffold	52833	2407319723	2019-01-15		PRJNA399341	SAMN07678016
Cryptoprocta ferox	fossa	isolate: BS36	94188	CryFer_v1_BIUU	GCA_004023885.1	GenBank		Scaffold	128639	2458846334	2019-01-15		PRJNA399384	SAMN07678074
Suricata suricatta	meerkat	isolate: BS45	37032	SurSur_v1_BIUU	GCA_004023905.1	GenBank		Scaffold	148487	2471813441	2019-01-15		PRJNA399357	SAMN07678040
Felis nigripes	black-footed cat	isolate: BS47, sex: male	61379	FelNig_v1_BIUU	GCA_004023925.1	GenBank		Scaffold	16007	2428424918	2019-01-15		PRJNA399394	SAMN07678084
Hyaena hyaena	striped hyena	isolate: BS54	95912	HyaHya_v1_BIUU	GCA_004023945.1	GenBank		Scaffold	51677	2445474026	2019-01-15		PRJNA399363	SAMN07678047
Spilogale gracilis	western spotted skunk	isolate: US072	30551	SpiGra_v1_BIUU	GCA_004023965.1	GenBank		Scaffold	63054	2463318012	2019-01-15		PRJNA399437	SAMN07678050
Zalophus californianus	California sea lion	isolate: BS06, sex: female	9704	ZalCal_v1_BIUU	GCA_004024565.1	GenBank		Scaffold	90567	2519860747	2019-01-15		PRJNA399369	SAMN07678053
